year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2013,Acura,TSX,Technology,Bellanova White Pearl,Parchment,Front-wheel Drive,Gasoline,5-Speed Automatic,87172,FALSE,FALSE,FALSE,14993
2021,Acura,TLX,Technology,Modern Steel Metallic,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,25719,FALSE,FALSE,TRUE,34974
2018,Acura,RDX,,Black,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,23088,FALSE,TRUE,TRUE,27998
2017,Acura,TLX,V6,Silver,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,93057,FALSE,TRUE,TRUE,16950
2016,Acura,TLX,FWD,Gray,Ebony,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,34915,TRUE,FALSE,TRUE,21498
2014,Acura,ILX,2.0L,Silver Moon,Ebony,Front-wheel Drive,Gasoline,5-Speed Automatic,115924,TRUE,FALSE,FALSE,12588
1990,Acura,Legend,L,Burgundy,Tan,Front-wheel Drive,Gasoline,Automatic,77915,FALSE,FALSE,FALSE,14995
2003,Acura,RSX,Type S,Gray,Gray,Front-wheel Drive,Gasoline,6-Speed Manual,131000,TRUE,FALSE,TRUE,13995
2007,Acura,TL,Type S w/Navigation,Black,Black,Front-wheel Drive,Gasoline,6-Speed Manual,50227,FALSE,FALSE,TRUE,26995
2019,Acura,MDX,3.5L Technology & A-Spec Pkgs,White,Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,36127,FALSE,TRUE,TRUE,37990
2021,Acura,ILX,Premium & A-SPEC Packages,Modern Steel Metallic,Ebony,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,43302,FALSE,TRUE,TRUE,27290
2021,Acura,TLX,Technology,Gray,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,39282,FALSE,TRUE,TRUE,34116
2006,Acura,RSX,Leather,Silver,Black,Front-wheel Drive,Gasoline,5-Speed Manual,180857,TRUE,FALSE,TRUE,8995
